"","d_1","d_2","P_11","P_22","sigma","mu_1","mu_2","Neg_lklihood","Convergence"
"Vietnam",0.558152421914498,0.949351772375582,0.991204210061559,0.931596064928194,0.0115636619740408,-0.00397572705689303,0.0665823019842181,-249.434454544174,0
"Mongolia",0.978496152727623,0.568235572049392,0.998958710303285,0.800014216958907,0.00158520580369032,-9.9726380844505e-05,-1.41575012733093,-386.095593391873,0
"Russian Federation",0.483529132861215,1.94903152719596,0.998999999863046,0.991614282503106,0.0738148372570672,0.0626180695942764,0.607711741753424,-109.307783170361,0
"Colombia",0.731972169686113,1.99060305453164,0.998999974589439,0.800416431090891,0.00612844897856097,-0.0115463835912051,0.438952047854181,-311.451039356013,0
"Panama",0.482566557262402,1.86498256076219,0.998999999584042,0.97227848516957,0.00371036536582484,-0.00376936889091301,0.28328689767886,-320.638554196294,0
"Armenia, Republic of",0.520694545542301,0.566545726885012,0.983347532106328,0.891420016031416,0.00100000005896331,-0.00125334589752048,1.81714019997001,-537.350250809261,0
"Cambodia",0.439919505725781,1.99804622803274,0.968289535250582,0.800000075013285,0.00124377401245806,-0.000345540124029166,0.476137174085771,-470.403124139492,0
"Venezuela, Republica Bolivariana de",0.587429576439337,1.99999936179014,0.992409750470503,0.800005920530952,0.0206243037629195,0.0195416383362798,0.333776780125645,-215.548047099386,1
"Japan",0.587907787012081,1.70963742107139,0.998999999477751,0.949602912701144,0.105124679257911,0.240174935682323,0.108744664839522,-69.8756403018641,0
"South Africa",0.583036428403366,1.96341528877295,0.915741158593538,0.916152443012674,0.00757037932274468,-0.00146403416244523,0.442084589421817,-766.376238184696,0
"Philippines",0.51917953227877,1.05752243798743,0.935886838071526,0.800000063404471,0.00607457856192207,-0.00136037837941076,-0.0622692217863457,-562.836990977144,0
"Denmark",0.578024329155101,1.81684153144049,0.99899999801637,0.800177860031752,0.011389337744745,0.00356179308052245,0.772279125021615,-516.047646492411,0
"Papua New Guinea",0.56797156502213,1.95521609095842,0.921755208139732,0.926994950118219,0.00100000000054151,-0.000223600448897951,0.909405613269867,-588.439417932571,1
"Thailand",0.574399039755365,1.85589024731712,0.998999998815559,0.966704900193962,0.022476285362763,0.00325499093799139,0.0147311821657312,-390.949801753188,0
"Portugal",0.647481224356532,0.138922926750695,0.99899997957688,0.800163280049412,0.0102686357032776,-0.00289148084115503,2.3836078581496,-532.835914711528,0
"United Kingdom",0.626999527010806,1.9818583317836,0.998999999195482,0.800279062424164,0.0499955422444611,-0.0159434629109491,0.131697924342801,-296.924617224585,0
"Macedonia, FYR",0.173542381237769,0.00394991150403137,0.998999999999726,0.800036648959029,0.00160824258063712,-0.000779000084661491,-0.820947830626445,-444.704545700513,0
"Netherlands",0.690034731854788,1.99286280984113,0.998999998016447,0.800249488517616,0.0224175870487881,0.00742040085505282,0.426348287704727,-477.006555081664,0
"Latvia",1.07926877070149,1.91107343784591,0.99899638495803,0.800227185819534,0.00195055802106853,0.00136424173818447,0.266045273215528,-466.50030010198,0
"Singapore",0.751605373295933,1.99392128196757,0.998999997989806,0.997081596901683,0.0183450023361275,0.0438333349060191,0.278133458236131,-228.459546611874,0
"Italy",0.617011873086902,1.99029670862015,0.993911222982655,0.800000890281568,0.0471294566602361,-0.0117141425509049,-1.0097897755101,-301.105225017008,0
"Bahamas, The",0.486988860649639,1.34658312201438,0.992303933126826,0.8000004209059,0.00100000015856016,-0.000479352931380868,1.19456617893053,-900.492779834522,0
"France",0.417204917307313,0.66580622700634,0.957509477268187,0.800000002925808,0.0343249617017453,0.00307798042920893,-0.153773845104224,-289.155284541409,0
"Iceland",1.0326873082767,1.98689837707355,0.92836627762214,0.915736027406756,0.00177961517379148,-0.00114672089901898,0.0263242674897803,-781.999528192448,0
"Ecuador",0.475801681980169,1.9999866676788,0.998999990637869,0.800876589079881,0.00411048716812431,-0.000757606209302606,0.0465287356139535,-394.314801456606,1
"Mexico",0.761191896919377,1.45503205934611,0.972035620105386,0.800000186019145,0.0153279716575894,-0.027761364416372,0.0967307749728308,-405.609978618222,0
"Germany",0.736073092038066,1.99999996899711,0.998999999361709,0.976954102911853,0.0757601613183435,0.0173858647876257,0.549390273774475,-213.689409362658,0
"Ukraine",0.826143230379996,1.8923582407275,0.981638649398364,0.800000144393992,0.00916931164375395,-0.0102743546812164,-0.627186520575618,-295.475551295928,0
"Lesotho",0.498615378260077,1.99997000951198,0.914109852972812,0.800000757423036,0.0010000000005102,-4.51181602593726e-05,0.786064525829304,-731.252697157013,0
"Indonesia",0.790905341257876,1.7254085113217,0.988479270954497,0.90285793227274,0.0118159600338552,0.0132186281518489,0.996172990662336,-421.478429864352,0
"Albania",0.572667625812345,1.99885441402602,0.998319468679862,0.800220691991771,0.00100000012637306,-0.00111009632861846,-0.935156122089434,-490.406543898146,0
"Jordan",0.624597135901785,1.26258011581701,0.943816311918091,0.800003040212164,0.00234494498741236,-0.000347017468635183,0.0481741205941685,-717.806874613291,1
"Nepal",0.544672310766016,1.98414684103981,0.959913396774277,0.965639821657153,0.00100000070909304,0.000150847925718357,0.362401794323359,-895.535447261471,1
"Estonia",0.758005152335017,-0.83536967236927,0.998999998056695,0.800322749853261,0.00138452186796371,-0.000236511901371866,2.02399322804782,-520.568693829566,0
"Slovak Republic",0.659483772473995,1.55381078789977,0.946425438217736,0.827327823962541,0.00507770090200133,0.00173675995646416,0.280633595575521,-357.522763440811,0
"Romania",0.58251441585256,0.873806492792168,0.962545254810087,0.80000000689196,0.00785452914709637,-0.00581216094863585,2.39371317323065e-05,-336.20281356601,0
"Sri Lanka",0.405245781715064,1.82977653933313,0.907635823931299,0.800000744392063,0.00207722824579798,-0.00178822171752135,-0.559312209573968,-732.39371693719,1
"Aruba",0.0917720436097596,1.97931163197998,0.917069250281899,0.800009547669633,0.00105925840655648,-8.00147883572114e-05,0.0434687482003466,-656.462854953355,1
"Lithuania",0.87505808922542,1.8897628338136,0.940212290127127,0.800000067744077,0.00264752670788898,-0.00133536333442897,0.211659750724679,-417.098602729569,0
"Bolivia",0.818423105994421,1.99821280689684,0.998999978076162,0.807306682511858,0.00144437307102491,-0.000820121318006872,4.99991456693172,-593.005605046142,0
"Croatia",-0.150494268532005,1.86852504002006,0.998999999525939,0.802490196344251,0.0164197288250489,-0.00339763771367718,2.51651821624105,-260.037223492111,0
"Hungary",0.668864194677195,1.45760654147958,0.985076385979349,0.891782716101816,0.0056194632222046,-0.00111511457770102,0.319118002578692,-404.520037499143,0
"United States",0.835348466747877,1.94073199243252,0.998999998873929,0.800012300823542,0.147619957243875,-0.000729000058366008,0.0389105008477432,-86.3580302609324,0
"Korea, Republic of",0.791126932560835,1.2198534112906,0.966636488127427,0.800000072138528,0.0302961520773182,0.0178697035188498,0.321874750542924,-308.387710252214,0
"Czech Republic",0.0305460048710104,1.99998056889647,0.998999996325345,0.800109265366097,0.0154498523427385,-0.00679322347162244,0.631127261687183,-265.848361879967,0
"Guatemala",0.460432952582694,1.87594889403532,0.970064268540457,0.800002843140417,0.00166257025605805,-0.000442150571201849,-0.0855534920358742,-795.890223476131,0
"Cabo Verde",0.361352428608676,1.77338101189059,0.949796859040611,0.80000126697784,0.00100000000296535,-0.000262828755501052,0.587146731327588,-454.016592861119,0
"Moldova",0.520170040287098,1.98068251582148,0.945508545153319,0.800000877370993,0.00100000004848361,-0.00021925172201128,0.328548028236207,-536.207798127788,1
"Pakistan",0.6291423555646,1.4398194643627,0.993981742269649,0.881226449986297,0.00525724907125421,-0.00248585570245211,0.0519074721651506,-621.912733544215,0
"Chile",0.641700128789759,1.89715976548514,0.978344566416566,0.800057694364204,0.009261462295073,0.00482200779132568,1.07449605213304,-328.297346008378,1
"Australia",0.818938616365422,1.18104629629904,0.98245539347673,0.800000052888557,0.0238980216132758,-0.041325359174276,0.290215077241865,-247.315580151516,0
"Vanuatu",0.0480595309028038,1.9317368418143,0.919432075434354,0.800001704410084,0.00100000002407688,-4.84221369059239e-05,1.39893828389923,-688.337464376762,1
"Sweden",0.650387874689139,1.89510278067022,0.998999992291257,0.961280800632852,0.0115662211782763,0.00265387484308424,1.10936021042722,-512.82565403383,0
"Myanmar",0.654221167400662,1.27559326023753,0.970635144104157,0.974684631013137,0.00213379615084667,0.00284656650091922,0.0896229010483814,-778.289212091621,0
"Argentina",0.698956171617461,1.95560255395922,0.994787287972432,0.96397138526282,0.0113256621697673,-0.00474631743265381,0.256563938923683,-495.292148270716,0
"Slovenia",0.65673001409293,-1.95687452975009,0.998998192798254,0.9607121248156,0.00195886049064661,0.0023284248313772,-0.382052803227996,-485.344107994891,0
"Kazakhstan",0.369500177223722,1.99108668570911,0.991303986362241,0.800000034146594,0.0124075109382829,-0.000741140084123566,0.269047438317327,-256.356317972948,0
"Sudan",0.714748318878516,1.40932054987862,0.966656410558397,0.822071404643145,0.00237527183271624,0.00118881761024215,0.111372639075373,-716.849764773572,1
"Finland",0.434758708896918,1.82389084245297,0.998999998889136,0.955645109733396,0.0115005963275725,-0.000483755702696402,0.769714553301418,-507.799004908491,0
"Brazil",0.815324109839894,1.99999953287345,0.996388830309985,0.946023906015943,0.0286162030011835,-0.0389842996931203,0.249215536486311,-357.822976801084,10
"Spain",0.822154542560706,1.9915269578868,0.998999989323804,0.80017223524658,0.0372998627493379,-0.0111264926236245,0.166371851742418,-314.861042421343,0
"Ethiopia",0.808690347266584,1.86613376589675,0.95584477153595,0.928929644130491,0.00175281783714798,0.000518980807103833,0.487737278686981,-769.266886402325,0
"Georgia",0.669423502803814,1.26397972801317,0.998105288300617,0.8000353875093,0.00119295705615513,-0.00125651836434453,1.17976434512196,-429.123152412071,0
"Malta",0.337286869111151,1.99142572305458,0.969955263286527,0.800104729818583,0.00133977049895715,-0.000214281165726866,4.97018546782852,-458.760932894519,1
"India",0.532857598399802,1.09927308073316,0.987521394570482,0.852286791072875,0.0273200010352859,-0.0088348193570657,0.207318095725225,-349.022173276769,0
"Bangladesh",0.795920695833625,1.82566293396963,0.893605814803306,0.899097723059753,0.00324597015624968,0.003167991625833,0.537070992331895,-676.223537982228,1
"Turkey",0.648969512145677,1.95880009991014,0.998999996336254,0.80134984863965,0.0269178396450195,-0.00853550188817427,0.180168994232858,-290.972465989861,0
"Nicaragua",0.228869584720155,1.99969343811948,0.952579787845385,0.937740345317504,0.00100000000397214,-0.00218994414601218,0.709094167013026,-569.220636928994,0
"Norway",0.720694027233389,1.94047626442966,0.998999992376334,0.800018063486016,0.0271841039732986,0.0154850150626259,0.0675828657683951,-202.448108088606,0
"Israel",0.397071332678005,1.99906790052657,0.998999995057043,0.809878201528989,0.0101328398370641,0.00266530493691513,-4.44507568559734,-573.174051992315,0
"Kyrgyz Republic",0.489292022059613,-0.389996793354683,0.99899999999537,0.80072350236225,0.00100255265416445,-0.000115451273794021,2.14871443947208,-529.433781375311,0
"Bulgaria",0.409858592868862,1.81003857077513,0.998999999049636,0.800076600719949,0.00808355010527907,-0.00203890597628091,0.741136433858677,-355.766434250915,0
"Canada",0.824616970629221,1.99999999881931,0.998642396201994,0.800523879494276,0.0186234159433333,-0.0163522947300638,0.506712154845993,-681.031670058694,10
"Belarus",0.498513052759561,1.99420308868142,0.998999997924386,0.801797800999456,0.00643110235203348,-0.0031690967484402,2.78335417437201,-307.327843259479,1
